"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 30 22:32:11 MSK 2023","Sat Sep 30 22:32:11 MSK 2023","6","Editor test","","","","","enable ownerShip with 4 events",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","483","HeroDelivery test","","","","","setPhoto positive",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","67","HeroValidator test","Hero lastname tests","","","","2 letter lastname",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","211","HeroValidator test","Hero resume tests","","","","51 letter filename presumehoto",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","48","Editor test","Editor saveSkill","","","","owner, invalid args",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","196","HeroValidator test","Hero photo tests","","","","Not photo",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","62","Editor test","deleteSkill","","","","owner, all valid",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","493","WorkDelivery test","","","","","setSkillImage negative",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","138","SkillValidator test","Skill image tests","","","","50 letter filename image",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","262","SkillValidator test","Skill name tests","","","","0 letter name",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","140","WorkValidator test","Work date tests","","","","501 work href",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","191","EventBus test","","","","","multiple events",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","109","WorkValidator test","Work description tests","","","","0 letter description",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","61","HeroValidator test","Hero name tests","","","","19 letter name",""
"passed","Sat Sep 30 22:32:11 MSK 2023","Sat Sep 30 22:32:11 MSK 2023","177","SkillDelivery test","","","","","setSkillCompetence positive",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","58","HeroValidator test","Hero name tests","","","","1 letter name",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","187","EventBus test","","","","","call without arguments",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","271","SkillValidator test","Skill description tests","","","","101 letter description",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","65","Editor test","deleteSkill","","","","owner, skillDelivery error",""
"passed","Sat Sep 30 22:32:11 MSK 2023","Sat Sep 30 22:32:11 MSK 2023","197","SkillDelivery test","","","","","setSkillLink positive",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","488","WorkDelivery test","","","","","setSkillImage positive",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","130","HeroValidator test","Hero photo tests","","","","Small photo",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","277","SkillValidator test","Skill date tests","","","","Start < End",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","62","HeroValidator test","Hero name tests","","","","21 letter name",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","477","HeroDelivery test","","","","","setResume negative",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","423","HeroDelivery test","","","","","setPhone positive",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","197","HeroValidator test","Hero photo tests","","","","Empty name photo",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","305","HeroDelivery test","","","","","setName positive",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","57","Editor test","createSkill","","","","owner, invalid skillName",""
